Displacement_mm,Axial_Force_N
5.000000e-07,1.385360e+04
1.000000e-06,2.770400e+04
1.500000e-06,4.155120e+04
2.000000e-06,5.539500e+04
2.500000e-06,6.923560e+04
3.000000e-06,8.307300e+04
3.500000e-06,9.690700e+04
4.000000e-06,1.107380e+05
4.500000e-06,1.245650e+05
5.000000e-06,1.383900e+05
5.500000e-06,1.522110e+05
6.000000e-06,1.660290e+05
6.500000e-06,1.798430e+05
7.000000e-06,1.936540e+05
7.500000e-06,2.074620e+05
8.000000e-06,2.212670e+05
8.500000e-06,2.350680e+05
9.000000e-06,2.488670e+05
9.500000e-06,2.626620e+05
1.000000e-05,2.764530e+05
1.050000e-05,2.902420e+05
1.100000e-05,3.040270e+05
1.150000e-05,3.178090e+05
1.200000e-05,3.315870e+05
1.250000e-05,3.453630e+05
1.300000e-05,3.591350e+05
1.350000e-05,3.729040e+05
1.400000e-05,3.866690e+05
1.450000e-05,4.004320e+05
1.500000e-05,4.141910e+05
1.550000e-05,4.279470e+05
1.600000e-05,4.416990e+05
1.650000e-05,4.554480e+05
1.700000e-05,4.691940e+05
1.750000e-05,4.829370e+05
1.800000e-05,4.966770e+05
1.850000e-05,5.104130e+05
1.900000e-05,5.241460e+05
1.950000e-05,5.378760e+05
2.000000e-05,5.516020e+05
2.050000e-05,5.653250e+05
2.100000e-05,5.790450e+05
2.150000e-05,5.927620e+05
2.200000e-05,6.064750e+05
2.250000e-05,6.201860e+05
2.300000e-05,6.338920e+05
2.350000e-05,6.475960e+05
2.400000e-05,6.612960e+05
2.450000e-05,6.749940e+05
2.500000e-05,6.886870e+05
2.550000e-05,7.023780e+05
2.600000e-05,7.160650e+05
2.650000e-05,7.297490e+05
2.700000e-05,7.434300e+05
2.750000e-05,7.571080e+05
2.800000e-05,7.707820e+05
2.850000e-05,7.844530e+05
2.900000e-05,7.981210e+05
2.950000e-05,8.117850e+05
3.000000e-05,8.254470e+05
3.050000e-05,8.391050e+05
3.100000e-05,8.527590e+05
3.150000e-05,8.664110e+05
3.200000e-05,8.800590e+05
3.250000e-05,8.937040e+05
3.300000e-05,9.073460e+05
3.350000e-05,9.209840e+05
3.400000e-05,9.346190e+05
3.450000e-05,9.482510e+05
3.500000e-05,9.618800e+05
3.550000e-05,9.755050e+05
3.600000e-05,9.891270e+05
3.650000e-05,1.002750e+06
3.700000e-05,1.016360e+06
3.750000e-05,1.029970e+06
3.800000e-05,1.043580e+06
3.850000e-05,1.057190e+06
3.900000e-05,1.070790e+06
3.950000e-05,1.084390e+06
4.000000e-05,1.097990e+06
4.050000e-05,1.111580e+06
4.100000e-05,1.125170e+06
4.150000e-05,1.138760e+06
4.200000e-05,1.152340e+06
4.250000e-05,1.165920e+06
4.300000e-05,1.179490e+06
4.350000e-05,1.193070e+06
4.400000e-05,1.206640e+06
4.450000e-05,1.220200e+06
4.500000e-05,1.233770e+06
4.550000e-05,1.247330e+06
4.600000e-05,1.260880e+06
4.650000e-05,1.274440e+06
4.700000e-05,1.287990e+06
4.750000e-05,1.301540e+06
4.800000e-05,1.315080e+06
4.850000e-05,1.328620e+06
4.900000e-05,1.342160e+06
4.950000e-05,1.355690e+06
5.000000e-05,1.369220e+06
5.050000e-05,1.382750e+06
5.100000e-05,1.396270e+06
5.150000e-05,1.409790e+06
5.200000e-05,1.423310e+06
5.250000e-05,1.436830e+06
5.300000e-05,1.450340e+06
5.350000e-05,1.463850e+06
5.400000e-05,1.477350e+06
5.450000e-05,1.490850e+06
5.500000e-05,1.504350e+06
5.550000e-05,1.517850e+06
5.600000e-05,1.531340e+06
5.650000e-05,1.544830e+06
5.700000e-05,1.558310e+06
5.750000e-05,1.571790e+06
5.800000e-05,1.585270e+06
5.850000e-05,1.598750e+06
5.900000e-05,1.612220e+06
5.950000e-05,1.625690e+06
6.000000e-05,1.639150e+06
6.050000e-05,1.652620e+06
6.100000e-05,1.666070e+06
6.150000e-05,1.679530e+06
6.200000e-05,1.692980e+06
6.250000e-05,1.706430e+06
6.300000e-05,1.719880e+06
6.350000e-05,1.733320e+06
6.400000e-05,1.746760e+06
6.450000e-05,1.760200e+06
6.500000e-05,1.773630e+06
6.550000e-05,1.787060e+06
6.600000e-05,1.800490e+06
6.650000e-05,1.813910e+06
6.700000e-05,1.827330e+06
6.750000e-05,1.840750e+06
6.800000e-05,1.854160e+06
6.850000e-05,1.867570e+06
6.900000e-05,1.880980e+06
6.950000e-05,1.894380e+06
7.000000e-05,1.907780e+06
7.050000e-05,1.921180e+06
7.100000e-05,1.934570e+06
7.150000e-05,1.947960e+06
7.200000e-05,1.961350e+06
7.250000e-05,1.974730e+06
7.300000e-05,1.988110e+06
7.350000e-05,2.001490e+06
7.400000e-05,2.014870e+06
7.450000e-05,2.028240e+06
7.500000e-05,2.041600e+06
7.550000e-05,2.054970e+06
7.600000e-05,2.068330e+06
7.650000e-05,2.081690e+06
7.700000e-05,2.095040e+06
7.750000e-05,2.108390e+06
7.800000e-05,2.121740e+06
7.850000e-05,2.135090e+06
7.900000e-05,2.148430e+06
7.950000e-05,2.161770e+06
8.000000e-05,2.175100e+06
8.050000e-05,2.188430e+06
8.100000e-05,2.201760e+06
