Displacement_mm,Axial_Force_N
5.000000e-07,3.911290e+03
1.000000e-06,7.822040e+03
1.500000e-06,1.173230e+04
2.000000e-06,1.564190e+04
2.500000e-06,1.955110e+04
3.000000e-06,2.345970e+04
3.500000e-06,2.736780e+04
4.000000e-06,3.127530e+04
4.500000e-06,3.518230e+04
5.000000e-06,3.908880e+04
5.500000e-06,4.299480e+04
6.000000e-06,4.690020e+04
6.500000e-06,5.080500e+04
7.000000e-06,5.470940e+04
7.500000e-06,5.861320e+04
8.000000e-06,6.251640e+04
8.500000e-06,6.641920e+04
9.000000e-06,7.032140e+04
9.500000e-06,7.422300e+04
1.000000e-05,7.812420e+04
1.050000e-05,8.202470e+04
1.100000e-05,8.592480e+04
1.150000e-05,8.982430e+04
1.200000e-05,9.372330e+04
1.250000e-05,9.762180e+04
1.300000e-05,1.015200e+05
1.350000e-05,1.054170e+05
1.400000e-05,1.093140e+05
1.450000e-05,1.132100e+05
1.500000e-05,1.171060e+05
1.550000e-05,1.210010e+05
1.600000e-05,1.248960e+05
1.650000e-05,1.287900e+05
1.700000e-05,1.326840e+05
1.750000e-05,1.365770e+05
1.800000e-05,1.404690e+05
1.850000e-05,1.443610e+05
1.900000e-05,1.482530e+05
1.950000e-05,1.521440e+05
2.000000e-05,1.560340e+05
2.050000e-05,1.599240e+05
2.100000e-05,1.638140e+05
2.150000e-05,1.677020e+05
2.200000e-05,1.715910e+05
2.250000e-05,1.754780e+05
2.300000e-05,1.793660e+05
2.350000e-05,1.832520e+05
2.400000e-05,1.871390e+05
2.450000e-05,1.910240e+05
2.500000e-05,1.949090e+05
2.550000e-05,1.987940e+05
2.600000e-05,2.026780e+05
2.650000e-05,2.065610e+05
2.700000e-05,2.104440e+05
2.750000e-05,2.143270e+05
2.800000e-05,2.182080e+05
2.850000e-05,2.220900e+05
2.900000e-05,2.259710e+05
2.950000e-05,2.298510e+05
3.000000e-05,2.337310e+05
3.050000e-05,2.376100e+05
3.100000e-05,2.414880e+05
3.150000e-05,2.453670e+05
3.200000e-05,2.492440e+05
3.250000e-05,2.531210e+05
3.300000e-05,2.569980e+05
3.350000e-05,2.608740e+05
3.400000e-05,2.647490e+05
3.450000e-05,2.686240e+05
3.500000e-05,2.724980e+05
3.550000e-05,2.763720e+05
3.600000e-05,2.802460e+05
3.650000e-05,2.841180e+05
3.700000e-05,2.879910e+05
3.750000e-05,2.918620e+05
3.800000e-05,2.957330e+05
3.850000e-05,2.996040e+05
3.900000e-05,3.034740e+05
3.950000e-05,3.073440e+05
4.000000e-05,3.112130e+05
4.050000e-05,3.150810e+05
4.100000e-05,3.189490e+05
4.150000e-05,3.228170e+05
4.200000e-05,3.266840e+05
4.250000e-05,3.305500e+05
4.300000e-05,3.344160e+05
4.350000e-05,3.382810e+05
4.400000e-05,3.421460e+05
4.450000e-05,3.460100e+05
4.500000e-05,3.498740e+05
4.550000e-05,3.537370e+05
4.600000e-05,3.575990e+05
4.650000e-05,3.614620e+05
4.700000e-05,3.653230e+05
4.750000e-05,3.691840e+05
4.800000e-05,3.730450e+05
4.850000e-05,3.769040e+05
4.900000e-05,3.807640e+05
4.950000e-05,3.846230e+05
5.000000e-05,3.884810e+05
5.050000e-05,3.923390e+05
5.100000e-05,3.961960e+05
5.150000e-05,4.000530e+05
5.200000e-05,4.039090e+05
5.250000e-05,4.077650e+05
5.300000e-05,4.116200e+05
5.350000e-05,4.154740e+05
5.400000e-05,4.193280e+05
5.450000e-05,4.231820e+05
5.500000e-05,4.270350e+05
5.550000e-05,4.308870e+05
5.600000e-05,4.347390e+05
5.650000e-05,4.385910e+05
5.700000e-05,4.424420e+05
5.750000e-05,4.462920e+05
5.800000e-05,4.501420e+05
5.850000e-05,4.539910e+05
5.900000e-05,4.578400e+05
5.950000e-05,4.616880e+05
6.000000e-05,4.655350e+05
6.050000e-05,4.693820e+05
6.100000e-05,4.732290e+05
6.150000e-05,4.770750e+05
6.200000e-05,4.809210e+05
6.250000e-05,4.847660e+05
6.300000e-05,4.886100e+05
6.350000e-05,4.924540e+05
6.400000e-05,4.962970e+05
6.450000e-05,5.001400e+05
6.500000e-05,5.039820e+05
6.550000e-05,5.078240e+05
6.600000e-05,5.116650e+05
6.650000e-05,5.155060e+05
6.700000e-05,5.193460e+05
6.750000e-05,5.231860e+05
6.800000e-05,5.270250e+05
6.850000e-05,5.308630e+05
6.900000e-05,5.347010e+05
6.950000e-05,5.385390e+05
7.000000e-05,5.423760e+05
7.050000e-05,5.462120e+05
7.100000e-05,5.500480e+05
7.150000e-05,5.538830e+05
7.200000e-05,5.577180e+05
7.250000e-05,5.615520e+05
7.300000e-05,5.653860e+05
7.350000e-05,5.692190e+05
7.400000e-05,5.730520e+05
7.450000e-05,5.768840e+05
7.500000e-05,5.807160e+05
